Iteration number,Data misfit,Model misfit,Petrophysical misfit,Live cells count,Acceptance ratio,Log-likelihood ratio,Log-prior ratio,Log-petrophysical ratio
22,3.1203164213920362,14.162463133770862,0.0,0.0,7.650202245421753e-06,-11.605558655080031,-0.1752198180852247,0.0
23,3.1192128230677096,14.171514808436552,0.0,0.0,0.8492718690579362,0.09309402906961672,-0.2564699503176655,0.0
24,3.104747503154508,0.0,3.1600000000051662,0.0,1.0,1.1301382087343095,0.0,-0.250000000001819
25,3.104219617004143,14.196757913726799,0.0,0.0,0.5076176402414984,0.03807650373107441,-0.7161032952280095,0.0
26,3.080580422732845,0.0,4.8699999999997825,0.0,1.0,1.476582349311365,0.0,-1.7099999999946163
27,3.076230690666259,14.273205775997061,0.0,0.0,0.14178167178093276,0.2230009357400895,-2.1764678629913874,0.0
28,3.075033275650421,14.375472056822495,0.0,0.0,0.05663875193638028,0.05873186766752703,-2.929793732528509,0.0
29,3.0749546840542554,14.376820599051642,0.0,0.0,0.9656450413907721,0.003814716558175668,-0.03877368083124111,0.0
30,3.072156568051434,14.462984406308806,0.0,0.0,0.09514522704214735,0.13259655086015343,-2.4849473998160363,0.0
31,3.0714936309511387,0.0,4.859999999999346,0.0,1.0,0.030497343992910153,0.0,0.01000000000043677
32,3.069075020651786,0.0,7.419999999994689,0.0,1.0,0.10828301154669173,0.0,-2.559999999995343
33,3.0684624754124226,14.49683510634324,0.0,0.0,0.3853401848251478,0.026681425486229093,-0.9803101633741278,0.0
34,3.0685748587410786,14.496906083066198,0.0,0.0,0.9930933385420143,-0.0048727421007754845,-0.0020578807359470375,0.0
35,3.068196703900683,14.514917079506839,0.0,0.0,0.6027963178495721,0.016355923057674415,-0.5225318437175872,0.0
36,2.974429820761741,14.522376628746517,0.0,0.0,1.0,0.5245230564518918,-0.21660512220370265,0.0
37,2.974429820761741,14.522376628746517,0.0,0.0,0.22965114698040268,-0.3032442305043228,-1.1679496432468852,0.0
38,2.974567524643998,14.524352951619687,0.0,0.0,0.948362204031419,0.004386938125584772,-0.05740571606042977,0.0
39,2.974605975349425,14.524370838933196,0.0,0.0,1.0,0.001222244287576002,-0.0005196036295274098,0.0
40,2.9726218738693535,14.524527385998327,0.0,0.0,0.9331765148507875,-0.06461338564420449,-0.00454751976238299,0.0
41,2.9727496103608977,14.530602953106092,0.0,0.0,0.8417504107528799,0.004254661233904278,-0.17652639420006722,0.0
42,2.9733314289678296,0.0,8.219999999996872,0.0,1.0,0.019214145774295144,0.0,-0.8000000000021839
43,2.9735883561829,0.0,6.870000000004329,0.0,1.0,0.00839863993058787,0.0,1.3499999999925434
44,2.9737097089640927,14.53591452548583,0.0,0.0,0.8603290058996655,0.003948513520210639,-0.1543889114145145,0.0
45,2.9736392523563224,14.561125347669009,0.0,0.0,0.47909740846682863,-0.0022910459783410664,-0.7335602982989826,0.0
46,2.9736169915960486,14.562075618939812,0.0,0.0,0.9719998560757745,-0.0007246813994982171,-0.027674941192401548,0.0
47,2.974151160302228,14.626534388176331,0.0,0.0,0.15502299531526217,0.017280060589452084,-1.8814618767834759,0.0
48,2.9744326912789703,14.634109897777126,0.0,0.0,0.8084400284187097,0.009015512644624302,-0.2216642917136653,0.0
49,2.972125728467186,14.772092678780059,0.0,0.0,0.01602997459625166,-0.07574528687580284,-4.057549610248969,0.0
50,2.974739462069467,0.0,5.55000000000673,0.0,1.0,0.08549686869682172,0.0,1.3199999999975986
51,2.9735557400353088,14.863480717528764,0.0,0.0,0.06415969128791577,-0.038043197150810504,-2.708336929881966,0.0
52,2.9691303897336625,15.3228105119314,0.0,0.0,8.170084031572391e-07,-0.15215351255106668,-13.865462944206058,0.0
53,2.9665145917019764,15.354341272673665,0.0,0.0,0.3448732740558523,-0.09730431783263027,-0.9672739331744822,0.0
54,2.9668620764249227,15.3562306352228,0.0,0.0,0.9562057794944739,0.013241265848740857,-0.058023404425313174,0.0
